"energy","loudness","acousticness","instrumentalness","tempo","duration_ms","track_age","track_popularity"
0.512,-9.071,0.152,0.000478,111.989,162827,5,30
0.719,-6.341,0.0867,0,125.007,217000,5,41
0.847,-4.966,0.0587,0,124.01,292587,5,29
0.56,-6.395,0.0826,0,168.068,196367,5,54
0.463,-7.563,0.693,0.000296,92.023,232832,5,21
0.77,-3.828,0.00374,0,102.002,214118,5,21
0.746,-6.139,0.446,0,100.019,184935,5,40
0.782,-2.927,0.198,0,155.912,193417,5,26
0.854,-3.625,0.0615,1.37e-06,101.034,232973,5,26
0.934,-0.7,0.0445,8.83e-06,124.988,224333,5,36
0.856,-2.745,0.127,0,171.884,199440,5,32
0.891,-2.746,0.0236,0,89.952,214627,5,34
0.763,-4.176,0.0298,1.9e-05,143.994,211547,5,21
0.728,-5.486,0.0097,0,96.009,198368,5,36
0.614,-5.411,0.0462,1.8e-06,200.012,210134,5,36
0.646,-6.046,0.0682,0.000481,82.49,200712,5,42
0.709,-6.451,0.042,0,109.973,283400,5,49
0.55,-7.974,0.0887,0.00485,94.969,212211,5,12
0.775,-4.677,0.0634,0.0501,107.992,208333,5,16
0.823,-4.603,0.09,0.000101,128.006,166523,5,27
0.55,-9.845,0.00919,0.000648,110.024,311976,5,44
0.646,-7.103,0.0345,0.000294,95.007,157288,5,21
0.56,-5.566,0.172,0,111.083,264935,5,41
0.735,-4.635,0.0269,0,99.964,221387,5,44
0.584,-7.384,0.324,0.0979,102.987,220631,5,39
0.795,-5.072,0.223,0,150.036,146500,5,21
0.739,-5.429,0.0263,0,173.082,249187,5,35
0.846,-5.929,0.158,0.0353,125.98,237071,5,16
0.776,-6.903,0.16,0,109.996,225273,5,27
0.637,-5.683,0.0821,1.04e-06,105.026,244187,5,37
0.851,-4.589,0.122,2.31e-05,127.993,214132,5,30
0.721,-8.409,0.00618,0.00696,121.948,207213,5,35
0.927,-3.21,0.31,0,119.991,208530,5,26
0.905,-6.323,0.553,0.0298,140.026,141473,5,30
0.75,-5.824,0.14,0.000249,114.958,242627,5,40
0.734,-4.623,0.0229,0,99.999,221100,5,31
0.673,-7.876,0.0652,8.47e-05,104.996,241164,5,27
0.929,-1.687,0.182,0.000776,190.05,213147,5,31
0.706,-5.137,0.000587,0.0795,128.187,189147,5,74
0.837,-3.104,0.0976,0,108.042,190903,5,59
0.787,-4.741,0.147,0,158.014,206578,5,63
0.726,-3.499,0.0706,3.42e-06,104.914,213164,5,73
0.964,-1.949,0.0503,0,129.979,199013,5,72
0.859,-3.922,0.0323,0,139.931,209355,7,68
0.879,-3.725,0.0309,0,119.997,204893,5,58
0.903,-1.918,0.0746,0,97.967,219760,5,72
0.902,-3.612,0.0868,0.00257,114.953,189050,7,70
0.87,-2.373,0.177,0,89.994,200465,5,59
